TRACKING_MONTH,CARRIER,SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2024 12,RBTW,RICHMOND,VA,US,FINDLAY,OH,US,4,1,2,67
2024 12,ODFL,LANCASTER,TX,US,LUFKIN,TX,US,1,1,1,100
2025 01,ODFL,CHICAGO,IL,US,BROWNSTOWN,MI,US,8,1,3,25
2025 01,RBTW,CHICAGO,IL,US,RICHMOND,VA,US,14,3,2,12
2024 09,RBTW,SEATTLE,WA,US,LOSANGELES,CA,US,9,4,3,25
2025 01,ODFL,LANCASTER,TX,US,SEARCY,AR,US,8,1,5,63
2024 10,ODFL,RICHMOND,VA,US,CHICAGO,IL,US,4,2,6,50
2024 10,ODFL,CHICAGO,IL,US,BYRON CENTER,MI,US,3,1,4,67
2024 09,ODFL,CHICAGO,IL,US,HOLIDAY CITY,OH,US,8,1,3,75
2024 10,ODFL,CHICAGO,IL,US,LA CROSSE,WI,US,14,1,2,20
2024 08,ODFL,LANCASTER,TX,US,TYLER,TX,US,1,1,2,100
2024 08,ODFL,LANCASTER,TX,US,ROANOKE,TX,US,2,1,1,100
2024 08,ODFL,CHICAGO,IL,US,LUGOFF,SC,US,4,2,8,50
2024 08,ODFL,LANCASTER,TX,US,LOGAN TOWNSHIP,NJ,US,1,3,6,100
2024 08,ODFL,LOSANGELES,CA,US,OKLAHOMA CITY,OK,US,4,3,4,50
2024 08,ODFL,LOSANGELES,CA,US,WOODLAND,CA,US,4,1,3,50
2024 08,ODFL,CHICAGO,IL,US,CHIPPEWA FALLS,WI,US,6,1,3,100
2024 08,ODFL,CHICAGO,IL,US,VILLA RICA,GA,US,2,2,5,100
2024 08,ODFL,LANCASTER,TX,US,LAKELAND,FL,US,1,2,5,100
2024 09,ODFL,CHICAGO,IL,US,STUARTS DRAFT,VA,US,2,2,2,100
2024 10,ODFL,LANCASTER,TX,US,CHIPPEWA FALLS,WI,US,9,2,5,34
2024 10,ODFL,LANCASTER,TX,US,LOXLEY,AL,US,7,2,4,29
2024 10,ODFL,RICHMOND,VA,US,WILLIAMSTON,SC,US,6,1,5,67
2024 09,RBTW,LOSANGELES,CA,US,DUPONT,WA,US,1,2,1,100
2024 11,RBTW,RICHMOND,VA,US,NEWPORT NEWS,VA,US,6,4,2,67
2024 11,ODFL,LANCASTER,TX,US,OCONOMOWOC,WI,US,6,2,5,100
2024 11,ODFL,RICHMOND,VA,US,MOUNT PLEASANT,IA,US,4,2,5,25
2024 12,ODFL,RICHMOND,VA,US,JACKSONVILLE,FL,US,25,2,10,32
2025 01,ODFL,CHICAGO,IL,US,PORTLAND,TN,US,9,2,3,100
