SOURCE_CITY,SOURCE_STATE,SOURCE_COUNTRY,DEST_CITY,DEST_STATE,DEST_COUNTRY,TMODE,CARRIER,SPOT_RATE,DISTANCE,COST_PER_MILE
LANCASTER,TX,US,PALESTINE,TX,US,LTL,ODFL,259.54,105,2.45
LANCASTER,TX,US,PENSACOLA,FL,US,LTL,ODFL,287.41,642,0.44
LANCASTER,TX,US,READING,PA,US,LTL,ODFL,623.42,1438,0.45
LANCASTER,TX,US,HAZLETON,PA,US,LTL,ODFL,1641.14,1458.5,1.18
LANCASTER,TX,US,LOGAN TOWNSHIP,NJ,US,LTL,ODFL,457.7,1447.17,0.31
REDLANDS,CA,US,CHARLOTTE,NC,US,LTL,ODFL,3729.56,2324,1.65
REDLANDS,CA,US,READING,PA,US,TL,RBTW,5535.57,2579,2.26
REDLANDS,CA,US,OKLAHOMA CITY,OK,US,TL,RBTW,3169.57,1265,2.47
REDLANDS,CA,US,KERNERSVILLE,NC,US,LTL,ODFL,1364.9,2356.4,0.58
REDLANDS,CA,US,SANGER,TX,US,LTL,ODFL,493.14,1304.67,0.38
REDLANDS,CA,US,PORTERVILLE,CA,US,LTL,ODFL,392.61,220,1.75
REDLANDS,CA,US,VACAVILLE,CA,US,TL,RBTW,1406.2,453,3.18
PHARR,TX,US,ELKHART,IN,US,LTL,ODFL,200.85,1484,0.14
PHARR,TX,US,CRANBURY,NJ,US,PARCEL,FDEG,5031.6,1898.25,2.63
PHARR,TX,US,IMPERIAL,PA,US,PARCEL,FDEG,5055.4,1647.33,3.04
PHARR,TX,US,CARROLLTON,TX,US,LTL,ODFL,435.38,517,0.81
REDLANDS,CA,US,SOUTH JORDAN,UT,US,LTL,ODFL,298.71,640,0.47
LANCASTER,TX,US,FISHERSVILLE,VA,US,LTL,ODFL,339.22,1181,0.29
PHARR,TX,US,LANSING,MI,US,LTL,ODFL,271.23,1591.5,0.17
PHARR,TX,US,RURAL HALL,NC,US,LTL,ODFL,185.72,1453,0.13
PHARR,TX,US,ELWOOD,IL,US,TL,RBTW,3420.63,1368.5,2.51
